Group,Mask,Mask_Label,ValidPct,n_days,coverage_pct,pearson_r,spearman_r,R2,RMSE,MAE
30,G1,Urban Core,80,640,13.527795392094694,0.873515330207376,0.8617040107056942,0.7470306604147514,0.5029605745833848,0.3915569529607364
30,G1,Urban Core,85,446,9.42718241386599,0.8737515134545172,0.8894263568911916,0.7475030269090345,0.5024907691599574,0.4000049656206386
30,G1,Urban Core,90,273,5.7704502219403935,0.8724999218697757,0.8826468142332311,0.7449998437395515,0.5049754016389794,0.404371417057465
30,G1,Urban Core,95,161,3.4030860283238216,0.8814029414964822,0.9067443258118411,0.7628058829929643,0.4870257867988468,0.39720695370046866
23-30,G2,Dense Urban,5,2740,57.91587402240541,0.7888184778069673,0.760393575375944,0.5776369556139336,0.649894640988881,0.5251286934114978
23-30,G2,Dense Urban,10,2490,52.63157894736842,0.8116713617722989,0.7851760808807595,0.6233427235445981,0.6137241045090228,0.49250477097068496
23-30,G2,Dense Urban,15,2300,48.61551469034031,0.8299433700293808,0.819700883643538,0.6598867400587618,0.5831923009961965,0.4748514278802394
23-30,G2,Dense Urban,20,2145,45.33925174381738,0.833633912846039,0.8220826918156762,0.667267825692077,0.5768294152588986,0.46594304764718925
23-30,G2,Dense Urban,25,1998,42.232086239695626,0.845445270531609,0.8399833197559295,0.6908905410632185,0.555976131625074,0.44979797062746074
23-30,G2,Dense Urban,30,1863,39.37856689917565,0.8518101501205809,0.8407777327332283,0.7036203002411626,0.5444076595335865,0.43842893639440295
23-30,G2,Dense Urban,35,1737,36.715282181357004,0.8578864121961083,0.8552905702598473,0.7157728243922166,0.5331296048877642,0.43058746008695625
23-30,G2,Dense Urban,40,1618,34.1999577256394,0.8634511154007666,0.8669539399994601,0.7269022308015338,0.5225875708419272,0.4271083073016645
23-30,G2,Dense Urban,45,1486,31.409849926019866,0.8693108179766807,0.8813717501153463,0.7386216359533613,0.5112517619007673,0.41746241029106484
23-30,G2,Dense Urban,50,1346,28.450644683999155,0.8728477900413747,0.8830916529106987,0.7456955800827497,0.50428604969526,0.41069533622042004
23-30,G2,Dense Urban,55,1220,25.78735996618051,0.8698684178575231,0.8864968926260155,0.7397368357150469,0.5101599399060585,0.4137190501786769
23-30,G2,Dense Urban,60,1088,22.99725216656098,0.8760400376752624,0.8996967798506116,0.7520800753505252,0.49791557984208,0.40655599999210745
23-30,G2,Dense Urban,65,930,19.657577679137603,0.8738673163176585,0.8858018642463698,0.747734632635317,0.5022602585957633,0.41545641462287175
23-30,G2,Dense Urban,70,786,16.613823715916297,0.8662213480008311,0.8874488833674881,0.7324426960016625,0.5172594165390684,0.42818149878118983
23-30,G2,Dense Urban,75,631,13.337560769393363,0.8652362574229124,0.889968474055753,0.7304725148458249,0.5191603655463071,0.42523923932064467
23-30,G2,Dense Urban,80,489,10.336081166772352,0.868748919775139,0.8943116887489655,0.737497839550278,0.5123496466766829,0.41934401535356736
23-30,G2,Dense Urban,85,325,6.869583597548087,0.888047572130987,0.9149480869190222,0.7760951442619739,0.4731858575000167,0.37868343543047583
23-30,G2,Dense Urban,90,176,3.720143732826041,0.8898318268977018,0.9220584472223695,0.7796636537954035,0.46939998530527943,0.37892515466684623
23-30,G2,Dense Urban,95,71,1.500739801310505,0.8547791506444067,0.8481556002682762,0.7095583012888134,0.5389264316316158,0.41001737028272095
22-30,G3,Core & Inner,5,2794,59.0572817586134,0.770746237910686,0.7420259780062661,0.5414924758213717,0.6771318366305252,0.5481237688706451
22-30,G3,Core & Inner,10,2522,53.30796871697315,0.7954250402264509,0.7654897032938851,0.590850080452902,0.6396482779990094,0.5171166832877976
22-30,G3,Core & Inner,15,2334,49.33417882054534,0.8018763870193566,0.7888311728314789,0.603752774038713,0.6294817121738224,0.5128942865112663
22-30,G3,Core & Inner,20,2167,45.804269710420634,0.810697269488484,0.7999913673826798,0.6213945389769686,0.615309240157363,0.49963103777045315
22-30,G3,Core & Inner,25,2026,42.82392728809977,0.8169521511821194,0.806218990547743,0.6339043023642393,0.6050584249770932,0.4908573205880561
22-30,G3,Core & Inner,30,1907,40.308602832382164,0.8283604715931616,0.8271132026668674,0.6567209431863237,0.5859002106277794,0.4743798092591783
22-30,G3,Core & Inner,35,1774,37.49735785246248,0.8273918210899973,0.8172390821136294,0.6547836421799951,0.5875511533645432,0.47689878782422057
22-30,G3,Core & Inner,40,1645,34.7706615937434,0.8309160814037242,0.825731799720184,0.6618321628074484,0.5815220006092218,0.4704684568591271
22-30,G3,Core & Inner,45,1520,32.1285140562249,0.8401819297199936,0.8444465082263551,0.6803638594399875,0.5653637241281161,0.45847687128757736
22-30,G3,Core & Inner,50,1383,29.23272035510463,0.8507651341248297,0.8605952822050082,0.7015302682496598,0.5463238341408327,0.4474956724768631
22-30,G3,Core & Inner,55,1243,26.273515113083917,0.8485569410583733,0.8745292605170809,0.6971138821167466,0.5503509043176484,0.44901751895003167
22-30,G3,Core & Inner,60,1109,23.441132952864088,0.8457036823084159,0.8779794373027502,0.6914073646168319,0.5555111478477889,0.45506511362629537
22-30,G3,Core & Inner,65,961,20.312830268442188,0.8458019885200905,0.8820928593770995,0.691603977040181,0.5553341543249606,0.4564174495808311
22-30,G3,Core & Inner,70,813,17.184527584020294,0.8330275549084383,0.8523002225302994,0.6660551098168768,0.577879650258705,0.4721878578831577
22-30,G3,Core & Inner,75,663,14.013950538998099,0.8316404322343388,0.851078932322584,0.6632808644686782,0.5802750516189041,0.4784174102490611
22-30,G3,Core & Inner,80,499,10.547452969773833,0.8345910710908145,0.8617479358206792,0.6691821421816292,0.5751676780021377,0.4693807116055988
22-30,G3,Core & Inner,85,334,7.059818220249419,0.8490130733045822,0.8738529779537094,0.6980261466091644,0.5495214767330169,0.4526759251709703
22-30,G3,Core & Inner,90,164,3.4664975692242654,0.87141361564108,0.9002323404911965,0.7428272312821599,0.5071220451901496,0.40940301795893164
22-30,G3,Core & Inner,95,47,0.9934474741069541,0.8861881781795723,0.8272432932469935,0.7723763563591446,0.4770991968562254,0.3657514414392134
21-30,G4,Urban Fringe,5,2816,59.522299725216655,0.6940719148122486,0.6491970870697086,0.3881438296244979,0.7822123563173252,0.646702822235174
21-30,G4,Urban Fringe,10,2561,54.132318748678934,0.7029565346196889,0.642252058845511,0.4059130692393781,0.7707703489111539,0.6377984341269826
21-30,G4,Urban Fringe,15,2365,49.98943140984993,0.7139206993822436,0.6630836928135345,0.42784139876448646,0.7564116612239089,0.622888399882819
21-30,G4,Urban Fringe,20,2217,46.86112872542803,0.7202557097999378,0.6711371657639071,0.44051141959987494,0.7479896927098161,0.6123009207401312
21-30,G4,Urban Fringe,25,2083,44.0287465652082,0.7236328598319347,0.672425706347365,0.44726571966386885,0.7434610146713351,0.6068303275907599
21-30,G4,Urban Fringe,30,1964,41.51342210949059,0.7274165174986551,0.6824265241542676,0.45483303499731,0.7383542273209317,0.5993980699831873
21-30,G4,Urban Fringe,35,1842,38.93468611287254,0.7261521154447758,0.6787073947600828,0.45230423088955196,0.7400647060294445,0.5984378104007155
21-30,G4,Urban Fringe,40,1731,36.58845909955612,0.7337455023509305,0.6832726718626114,0.4674910047018609,0.7297321394170186,0.5916543148374057
21-30,G4,Urban Fringe,45,1617,34.17882054533925,0.739429802285806,0.6942366180321522,0.4788596045716119,0.7219005440006179,0.5886274773207772
21-30,G4,Urban Fringe,50,1490,31.49439864722046,0.7463545482821932,0.701121369762039,0.4927090965643861,0.7122435703013499,0.5813578510224672
21-30,G4,Urban Fringe,55,1354,28.61974212640034,0.758363976072446,0.7117687671462554,0.5167279521448918,0.6951777095499453,0.5663109262273526
21-30,G4,Urban Fringe,60,1243,26.273515113083917,0.7524977203655742,0.7079677416841939,0.5049954407311487,0.7035656040973374,0.5726002531627131
21-30,G4,Urban Fringe,65,1096,23.166349608962165,0.7413918114616523,0.6944476140750346,0.48278362292330557,0.7191775699204576,0.5853714059397781
21-30,G4,Urban Fringe,70,952,20.12259564574086,0.7306753761825985,0.6686580285326679,0.46135075236519685,0.7339272768025475,0.598235384543387
21-30,G4,Urban Fringe,75,802,16.952018600718663,0.7170100553918414,0.637927554009752,0.43402011078368263,0.7523163491619183,0.6244108232988945
21-30,G4,Urban Fringe,80,648,13.696892834495877,0.7084261157012832,0.6292333843906146,0.41685223140256655,0.7636411255278447,0.6308177171695616
21-30,G4,Urban Fringe,85,490,10.3572183470725,0.7167254639384258,0.6482578573402324,0.433450927876852,0.7526945410477932,0.6298548626003441
21-30,G4,Urban Fringe,90,289,6.1086451067427605,0.6968527580963451,0.6353358773684075,0.3937055161926897,0.7786491403753749,0.6580911068039593
21-30,G4,Urban Fringe,95,100,2.113718030014796,0.785430800169328,0.8143607653270857,0.5708616003386556,0.6550865589075572,0.5448119999959324
13-30,G5,Built-Up / Rural Mix,5,2863,60.51574719932361,0.6343219163633254,0.565133438283533,0.2686438327266506,0.8551936431436737,0.7095416183519981
13-30,G5,Built-Up / Rural Mix,10,2609,55.14690340308602,0.6495231154064274,0.5744785205814592,0.2990462308128543,0.8372298186203987,0.6949535413225283
13-30,G5,Built-Up / Rural Mix,15,2418,51.10970196575777,0.6609615781757573,0.5833626251966271,0.3219231563515148,0.8234542146643523,0.679351454451907
13-30,G5,Built-Up / Rural Mix,20,2260,47.77002747833439,0.6707535595114509,0.5984824277206438,0.34150711902290143,0.8114757426917322,0.6681249991013262
13-30,G5,Built-Up / Rural Mix,25,2118,44.76854787571338,0.6717859487797112,0.5960356171155673,0.3435718975594222,0.8102025070564629,0.6641078995128319
13-30,G5,Built-Up / Rural Mix,30,1990,42.062988797294445,0.6790438249265698,0.6097793993054523,0.35808764985314,0.8011943273306795,0.6518884150547106
13-30,G5,Built-Up / Rural Mix,35,1881,39.75903614457831,0.6783175226736547,0.6105027569302939,0.3566350453473105,0.8021003395166278,0.6494668136233392
13-30,G5,Built-Up / Rural Mix,40,1759,37.18030014796026,0.6796955309041549,0.6089791993077881,0.35939106180831015,0.8003804958841075,0.6526969306973828
13-30,G5,Built-Up / Rural Mix,45,1633,34.51701543014162,0.6886599032916427,0.6257250303276554,0.37731980658328557,0.7891008765783463,0.6456427263454807
13-30,G5,Built-Up / Rural Mix,50,1508,31.874867892623126,0.6913546246023541,0.6281891318042994,0.3827092492047083,0.7856785289132521,0.6403941419986368
13-30,G5,Built-Up / Rural Mix,55,1380,29.169308814204186,0.7006785214993884,0.6301937127038958,0.40135704299877717,0.7737202058891979,0.6301959364168379
13-30,G5,Built-Up / Rural Mix,60,1239,26.188966391883323,0.7023905100699278,0.6371471851444019,0.4047810201398556,0.7715043615302147,0.6292847227367746
13-30,G5,Built-Up / Rural Mix,65,1106,23.377721411963645,0.6868309630134548,0.6152108344870033,0.3736619260269095,0.7914152348628946,0.6361873743594756
13-30,G5,Built-Up / Rural Mix,70,945,19.97463538363982,0.6754672547948111,0.5736267685242659,0.35093450958962213,0.8056460081266325,0.6550642042213529
13-30,G5,Built-Up / Rural Mix,75,803,16.97315578101881,0.6724251754098949,0.5645289825614183,0.3448503508197899,0.809413151104064,0.6627095146206291
13-30,G5,Built-Up / Rural Mix,80,640,13.527795392094694,0.641347066445789,0.5173554007287624,0.28269413289157796,0.846939116529885,0.6998685839983965
13-30,G5,Built-Up / Rural Mix,85,481,10.16698372437117,0.6410493101898537,0.5419496441498391,0.28209862037970734,0.8472906110776235,0.6984082052110403
13-30,G5,Built-Up / Rural Mix,90,281,5.9395476643415765,0.6612554977260041,0.5880552262441696,0.3225109954520077,0.823097202369193,0.7018359727557629
13-30,G5,Built-Up / Rural Mix,95,86,1.8177975058127245,0.5566848073290378,0.30528942539811055,0.1133696146580756,0.941610527416683,0.8049360461978472
12-30,G6,Low–Mid Rural,5,2872,60.705981822024945,0.5341864815980961,0.4654914690989231,0.06837296319619224,0.9652082867463414,0.8041905828325278
12-30,G6,Low–Mid Rural,10,2643,55.86556753329106,0.5418231452982776,0.46316857628922053,0.08364629059655504,0.9572636572039309,0.7975667343088901
12-30,G6,Low–Mid Rural,15,2455,51.891777636863246,0.5514975666371631,0.4706789389332053,0.10299513327432641,0.9471034086759871,0.7863886055497089
12-30,G6,Low–Mid Rural,20,2293,48.467554428239275,0.5554379295196576,0.4740626105209957,0.11087585903931563,0.9429337945798126,0.7789310230600984
12-30,G6,Low–Mid Rural,25,2159,45.635172268019446,0.563749318590709,0.4785795060094692,0.12749863718141785,0.9340778141132473,0.7656275335049257
12-30,G6,Low–Mid Rural,30,2025,42.80279010779962,0.5648889595811267,0.48752577747466197,0.12977791916225356,0.932856945537603,0.7590559577309448
12-30,G6,Low–Mid Rural,35,1918,40.54111181568379,0.567128983163409,0.4913573244247599,0.1342579663268174,0.930452596145114,0.7542558465783785
12-30,G6,Low–Mid Rural,40,1793,37.898964278165295,0.5661190263155345,0.4889397191769421,0.1322380526310688,0.931537410611582,0.7602973580681002
12-30,G6,Low–Mid Rural,45,1684,35.59501162544916,0.5729262605266099,0.5006783918681624,0.14585252105321955,0.9242009948851929,0.7564058069595245
12-30,G6,Low–Mid Rural,50,1559,32.95286408793067,0.5665009139632331,0.4945842393518162,0.1330018279264663,0.931127366193011,0.7593683788297547
12-30,G6,Low–Mid Rural,55,1431,30.24730500951173,0.5830088531680537,0.5149322174010974,0.16601770633610802,0.9132263102122562,0.7433619682572805
