Date,Band,Min,Max,Mean,Median,Std,Valid Pixels,Total Pixels
2013-11-05,Gap_Filled_DNB_BRDF_Corrected_NTL,3.030467269127257e-05,183.2345428466797,0.18722417950630188,0.12305627763271332,0.9471935629844666,89614,89614
2013-11-05,Latest_High_Quality_Retrieval,0.0,30.0,2.274773359298706,3.0,1.875437617301941,89612,89614
2013-11-05,Mandatory_Quality_Flag,0.0,1.0,0.0021775388158857822,0.0,0.04661327973008156,21584,89614
2013-11-05,QF_Cloud_Mask,34.0,2274.0,498.0043640136719,738.0,315.0068054199219,89614,89614
2013-11-05,Snow_Flag,0.0,1.0,7.811279647285119e-05,0.0,0.008837798610329628,89614,89614
2013-11-06,DNB_BRDF_Corrected_NTL,0.006769812200218439,3.670722007751465,0.26192915439605713,0.2348984181880951,0.2501499056816101,1346,89614
2013-11-06,DNB_Lunar_Irradiance,0.5,0.5,0.5,0.5,0.0,89614,89614
2013-11-06,Gap_Filled_DNB_BRDF_Corrected_NTL,0.00010081561049446464,64.1436996459961,0.18414653837680817,0.11880536377429962,0.8065952658653259,89614,89614
2013-11-06,Latest_High_Quality_Retrieval,0.0,30.0,3.2294576168060303,4.0,1.897066354751587,89607,89614
2013-11-06,Mandatory_Quality_Flag,0.0,1.0,0.002971768146380782,0.0,0.05443286523222923,1346,89614
2013-11-06,QF_Cloud_Mask,34.0,1274.0,727.4006958007812,738.0,123.86438751220703,89614,89614
2013-11-06,Snow_Flag,0.0,1.0,0.002745106816291809,0.0,0.05232179909944534,89614,89614
2013-11-07,DNB_BRDF_Corrected_NTL,,,,,,0,89614
2013-11-07,DNB_Lunar_Irradiance,0.5,0.5,0.5,0.5,0.0,89614,89614
2013-11-07,Gap_Filled_DNB_BRDF_Corrected_NTL,0.00010081561049446464,64.1436996459961,0.18215294182300568,0.11798049509525299,0.8066403269767761,89614,89614
2013-11-07,Latest_High_Quality_Retrieval,1.0,25.0,4.229114055633545,5.0,1.8950321674346924,89606,89614
2013-11-07,Mandatory_Quality_Flag,,,,,,0,89614
2013-11-07,QF_Cloud_Mask,226.0,1266.0,533.73779296875,738.0,264.9647521972656,89614,89614
2013-11-07,Snow_Flag,0.0,1.0,0.002945968182757497,0.0,0.05419677123427391,89614,89614
2013-11-08,DNB_BRDF_Corrected_NTL,,,,,,0,89614
2013-11-08,DNB_Lunar_Irradiance,0.5,0.5,0.5,0.5,0.0,89614,89614
2013-11-08,Gap_Filled_DNB_BRDF_Corrected_NTL,0.00010081561049446464,64.1436996459961,0.18215176463127136,0.11797986924648285,0.8066404461860657,89614,89614
2013-11-08,Latest_High_Quality_Retrieval,2.0,26.0,5.229114055633545,6.0,1.8950321674346924,89606,89614
2013-11-08,Mandatory_Quality_Flag,,,,,,0,89614
